start_time,end_time,initial_label,sensor_events,activities
2011-11-28 02:27:59,2011-11-28 10:18:11,Bed Rest,"[{'state': 'st(Bedroom-BedOccupied, 02:27, 10:18)', 'start_time': Timestamp('2011-11-28 02:27:59'), 'end_time': Timestamp('2011-11-28 10:18:11'), 'location': 'Bed', 'type': 'Pressure', 'place': 'Bedroom', 'device': 'Bedroom_Bed_Pressure'}]",['sleeping']
2011-11-28 10:25:44,2011-11-28 10:32:06,Shower,"[{'state': 'st(Bathroom-NearBathroomShower, 10:25, 10:32)', 'start_time': Timestamp('2011-11-28 10:25:44'), 'end_time': Timestamp('2011-11-28 10:32:06'), 'location': 'Shower', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Shower_PIR'}]",['showering']
2011-11-28 10:34:23,2011-11-28 10:34:41,Fridge Open,"[{'state': 'st(Kitchen-FridgeDoorOpen, 10:34, 10:34)', 'start_time': Timestamp('2011-11-28 10:34:23'), 'end_time': Timestamp('2011-11-28 10:34:41'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}]",['preparing breakfast']
2011-11-28 10:34:44,2011-11-28 10:37:17,Cupboard Open,"[{'state': 'st(Kitchen-CupboardDoorOpen, 10:34, 10:37)', 'start_time': Timestamp('2011-11-28 10:34:44'), 'end_time': Timestamp('2011-11-28 10:37:17'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}]",['preparing breakfast']
2011-11-28 10:38:00,2011-11-28 10:42:41,Toasting,"[{'state': 'st(Kitchen-ToasterOn, 10:38, 10:42)', 'start_time': Timestamp('2011-11-28 10:38:00'), 'end_time': Timestamp('2011-11-28 10:42:41'), 'location': 'Toaster', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Toaster_Electric'}, {'state': 'st(Kitchen-FridgeDoorOpen, 10:38, 10:38)', 'start_time': Timestamp('2011-11-28 10:38:33'), 'end_time': Timestamp('2011-11-28 10:38:40'), 'location': 'Fridge', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Fridge_Magnetic'}, {'state': 'st(Kitchen-CupboardDoorOpen, 10:41, 10:41)', 'start_time': Timestamp('2011-11-28 10:41:29'), 'end_time': Timestamp('2011-11-28 10:41:36'), 'location': 'Cupboard', 'type': 'Magnetic', 'place': 'Kitchen', 'device': 'Kitchen_Cupboard_Magnetic'}, {'state': 'st(Kitchen-NearKitchenCooktop, 10:41, 10:41)', 'start_time': Timestamp('2011-11-28 10:41:43'), 'end_time': Timestamp('2011-11-28 10:41:59'), 'location': 'Cooktop', 'type': 'PIR', 'place': 'Kitchen', 'device': 'Kitchen_Cooktop_PIR'}, {'state': 'st(Kitchen-MicrowaveOn, 10:41, 10:42)', 'start_time': Timestamp('2011-11-28 10:41:59'), 'end_time': Timestamp('2011-11-28 10:42:55'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}]",['preparing breakfast']
2011-11-28 10:41:43,2011-11-28 10:41:59,Cooktop Use,"[{'state': 'st(Kitchen-ToasterOn, 10:38, 10:42)', 'start_time': Timestamp('2011-11-28 10:38:00'), 'end_time': Timestamp('2011-11-28 10:42:41'), 'location': 'Toaster', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Toaster_Electric'}, {'state': 'st(Kitchen-NearKitchenCooktop, 10:41, 10:41)', 'start_time': Timestamp('2011-11-28 10:41:43'), 'end_time': Timestamp('2011-11-28 10:41:59'), 'location': 'Cooktop', 'type': 'PIR', 'place': 'Kitchen', 'device': 'Kitchen_Cooktop_PIR'}, {'state': 'st(Kitchen-MicrowaveOn, 10:41, 10:42)', 'start_time': Timestamp('2011-11-28 10:41:59'), 'end_time': Timestamp('2011-11-28 10:42:55'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}]",['preparing breakfast']
2011-11-28 10:41:59,2011-11-28 10:42:55,Microwave Use,"[{'state': 'st(Kitchen-ToasterOn, 10:38, 10:42)', 'start_time': Timestamp('2011-11-28 10:38:00'), 'end_time': Timestamp('2011-11-28 10:42:41'), 'location': 'Toaster', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Toaster_Electric'}, {'state': 'st(Kitchen-NearKitchenCooktop, 10:41, 10:41)', 'start_time': Timestamp('2011-11-28 10:41:43'), 'end_time': Timestamp('2011-11-28 10:41:59'), 'location': 'Cooktop', 'type': 'PIR', 'place': 'Kitchen', 'device': 'Kitchen_Cooktop_PIR'}, {'state': 'st(Kitchen-MicrowaveOn, 10:41, 10:42)', 'start_time': Timestamp('2011-11-28 10:41:59'), 'end_time': Timestamp('2011-11-28 10:42:55'), 'location': 'Microwave', 'type': 'Electric', 'place': 'Kitchen', 'device': 'Kitchen_Microwave_Electric'}]",['preparing breakfast']
2011-11-28 10:49:48,2011-11-28 10:51:13,Hand Washing,"[{'state': 'st(Bathroom-NearBathroomBasin, 10:49, 10:51)', 'start_time': Timestamp('2011-11-28 10:49:48'), 'end_time': Timestamp('2011-11-28 10:51:13'), 'location': 'Basin', 'type': 'PIR', 'place': 'Bathroom', 'device': 'Bathroom_Basin_PIR'}]",['personal care']
2011-11-28 10:51:41,2011-11-28 13:05:07,Seated Activity,"[{'state': 'st(Living-SeatOccupied, 10:51, 13:05)', 'start_time': Timestamp('2011-11-28 10:51:41'), 'end_time': Timestamp('2011-11-28 13:05:07'), 'location': 'Seat', 'type': 'Pressure', 'place': 'Living', 'device': 'Living_Seat_Pressure'}]",['relaxing on couch']
2011-11-28 13:09:31,2011-11-28 13:29:09,Entering Home,"[{'state': 'st(Entrance-MainDoorOpen, 13:09, 13:09)', 'start_time': Timestamp('2011-11-28 13:09:31'), 'end_time': Timestamp('2011-11-28 13:09:35'), 'location': 'Maindoor', 'type': 'Magnetic', 'place': 'Entrance', 'device': 'Entrance_Maindoor_Magnetic'}, {'state': 'st(Entrance-MainDoorOpen, 13:28, 13:29)', 'start_time': Timestamp('2011-11-28 13:28:59'), 'end_time': Timestamp('2011-11-28 13:29:09'), 'location': 'Maindoor', 'type': 'Magnetic', 'place': 'Entrance', 'device': 'Entrance_Maindoor_Magnetic'}]",['leaving home']
